MOLD,SIZE,COLOR,QTY,DUE_DATE
MS252801-1,10,BIP024_LTIRONORE,36,2024-01-02
MS252801-1,10T,BIP024_LTIRONORE,30,2024-01-02
MS252801-1,11,BIP024_LTIRONORE,18,2024-01-02
MS252801-1,11T,BIP024_LTIRONORE,18,2024-01-02
MS252801-1,12,BIP024_LTIRONORE,18,2024-01-02
MS252801-1,13,BIP024_LTIRONORE,18,2024-01-02
MS252801-1,8,BIP024_LTIRONORE,6,2024-01-02
MS252801-1,8T,BIP024_LTIRONORE,6,2024-01-02
MS252801-1,9,BIP024_LTIRONORE,18,2024-01-02
MS252801-1,9T,BIP024_LTIRONORE,30,2024-01-02
MS252801-1,10,BIP024_LTIRONORE,42,2024-01-02
MS252801-1,10T,BIP024_LTIRONORE,48,2024-01-02
MS252801-1,11,BIP024_LTIRONORE,66,2024-01-02
MS252801-1,11T,BIP024_LTIRONORE,18,2024-01-02
MS252801-1,12,BIP024_LTIRONORE,54,2024-01-02
MS252801-1,12T,BIP024_LTIRONORE,12,2024-01-02
MS252801-1,13,BIP024_LTIRONORE,36,2024-01-02
MS252801-1,14,BIP024_LTIRONORE,18,2024-01-02
MS252801-1,15,BIP024_LTIRONORE,30,2024-01-02
MS252801-1,6,BIP024_LTIRONORE,18,2024-01-02
MS252801-1,6T,BIP024_LTIRONORE,18,2024-01-02
MS252801-1,7,BIP024_LTIRONORE,18,2024-01-02
MS252801-1,7T,BIP024_LTIRONORE,18,2024-01-02
MS252801-1,8,BIP024_LTIRONORE,36,2024-01-02
MS252801-1,8T,BIP024_LTIRONORE,36,2024-01-02
MS252801-1,9,BIP024_LTIRONORE,36,2024-01-02
MS252801-1,9T,BIP024_LTIRONORE,42,2024-01-02
MS252801-1,10,BIP024_LTIRONORE,126,2024-01-02
MS252801-1,10T,BIP024_LTIRONORE,96,2024-01-02
MS252801-1,11,BIP024_LTIRONORE,84,2024-01-02
MS252801-1,11T,BIP024_LTIRONORE,66,2024-01-02
MS252801-1,12,BIP024_LTIRONORE,66,2024-01-02
MS252801-1,12T,BIP024_LTIRONORE,30,2024-01-02
MS252801-1,13,BIP024_LTIRONORE,36,2024-01-02
MS252801-1,14,BIP024_LTIRONORE,18,2024-01-02
MS252801-1,15,BIP024_LTIRONORE,12,2024-01-02
MS252801-1,6,BIP024_LTIRONORE,24,2024-01-02
MS252801-1,6T,BIP024_LTIRONORE,36,2024-01-02
MS252801-1,7,BIP024_LTIRONORE,42,2024-01-02
MS252801-1,7T,BIP024_LTIRONORE,30,2024-01-02
MS252801-1,8,BIP024_LTIRONORE,60,2024-01-02
MS252801-1,8T,BIP024_LTIRONORE,84,2024-01-02
MS252801-1,9,BIP024_LTIRONORE,96,2024-01-02
MS252801-1,9T,BIP024_LTIRONORE,114,2024-01-02
MS252801-1,4,BIP024_WHITE,6,2024-01-02
MS252801-1,4T,BIP024_WHITE,18,2024-01-02
MS252801-1,5,BIP024_WHITE,36,2024-01-02
MS252801-1,5T,BIP024_WHITE,36,2024-01-02
MS252801-1,6,BIP024_WHITE,48,2024-01-02
MS252801-1,6T,BIP024_WHITE,48,2024-01-02
MS252801-1,7,BIP024_WHITE,48,2024-01-02
MS252801-1,7T,BIP024_WHITE,24,2024-01-02
MS252801-1,8,BIP024_WHITE,24,2024-01-02
MS252801-1,8T,BIP024_WHITE,6,2024-01-02
MS252801-1,9,BIP024_WHITE,6,2024-01-02
MS252801-1,10,BIP024_WHITE,6,2024-01-02
MS252801-1,4,BIP024_WHITE,12,2024-01-02
